sensor_id,lat,lon
2224,24.69,49.49
2216,25.86,46.13
3432,24.7,53.18
2230,27.42,46.1
2294,23.86,45.45
2264,24.75,59.21
1850,24.29,59.45
2234,27.24,41.45
3558,26.6,42.33
2262,26.08,45.82
1764,23.83,51.64
3836,24.01,53.12
2038,28.92,39.44
2323,24.19,51.68
2266,23.38,62.78
1952,22.25,57.16
2292,23.07,60.23
3428,28.15,40.04
1846,23.48,51.88
3096,26.1,45.65
3512,24.3,56.55
3472,26.25,48.36
2228,26.04,46.67
3620,25.46,57.24
3438,24.19,59.62
1954,26.17,44.85
3092,24.26,0
1962,25.71,47
3436,26.38,45.53
3474,26.21,50.62
2036,23.71,51.54
2232,25.36,52.55
2607,24.13,56.15
3738,27.71,41.96
3102,25.61,44.39
2040,25.25,48.45
2224,24.76,48.86
2216,25.86,46.51
3432,24.74,53.05
2230,27.46,46.13
2294,23.78,45.89
2264,24.76,59.44
1850,24.26,59.83
3558,26.63,42.92
2234,27.5,40.58
2262,26.02,46.1
1764,23.61,54.79
2038,28.96,39.41
3836,23.93,53.43
2323,24.23,51.62
1952,22.24,57.49
2266,23.22,63.79
2292,23.01,59.59
3428,28.08,41.47
1846,23.39,53.99
3096,26.06,45.79
3512,24.47,56.74
2228,25.98,46.67
3472,26.18,48.75
3438,23.99,59.48
1954,26.15,44.95
3092,24.07,0
3620,25.75,56.89
1962,25.71,46.89
3474,26.29,50.22
3436,26.59,45.16
2036,23.49,52.8
2232,24.94,53.97
2607,24.16,56.26
3738,27.71,41.91
3102,25.56,44.76
2040,24.92,49.44
2224,24.71,49.39
2216,25.69,46.67
3432,24.62,53.73
2230,27.47,46.48
2294,23.74,44.84
2264,24.74,59.73
1850,24.25,60.06
3558,26.55,43.06
2234,27.25,41.14
2262,25.91,45.39
1764,23.56,53.94
3836,23.88,53.49
2038,28.88,39.67
2323,24.28,51.39
1952,22.12,58.15
2266,23.27,62.17
2292,22.97,59.73
1846,23.36,51.18
3096,26.25,45.15
3428,28.11,40.83
3512,24.35,56.96
2228,25.92,47.38
3472,25.96,49.68
3438,23.77,60.53
1954,26.05,45.16
3092,24.05,0
1962,25.74,46.78
3474,26.39,49.47
3436,26.43,45.69
2036,23.39,53.43
2232,24.75,54.41
2607,24.12,56.11
3738,27.62,42.32
3620,25.41,57.58
3102,25.54,44.57
2040,24.85,49.76
2216,25.86,45.98
2224,24.74,48.99
3432,24.67,53.72
2230,27.44,46.48
2294,23.84,44.21
2264,24.62,59.93
1850,24.24,60.21
3558,26.58,43.33
2262,25.91,46.28
2234,27.48,41.05
1764,23.52,55.34
2038,28.88,39.61
3836,23.92,53.3
2323,24.23,51.48
1952,22.34,57.5
2266,23.14,61.95
2292,22.91,59.84
1846,23.31,53.22
3428,28.17,42.96
3096,26.31,45.02
3512,24.23,56.64
2228,25.76,47.08
3472,26.08,49.03
3438,23.89,59.05
3500,27.1,43.99
1954,25.96,45.44
3092,23.97,0
1962,25.71,46.76
3474,26.53,49.57
2036,23.1,54.79
3436,26.62,45.06
2232,24.91,53.93
2607,24.18,56.18
3738,27.65,42.37
3102,25.52,44.54
2040,24.89,49.57
2216,25.68,47.29
2224,24.61,49.45
3432,24.49,54.08
2230,27.51,46.54
2294,24.23,43.07
2264,24.73,59.9
3620,25.22,57.91
1850,24.2,60.24
3558,26.31,44.14
2234,27.39,41.26
2262,25.87,46.15
1764,23.32,53.75
3836,23.85,53.7
2038,28.89,39.31
2323,24.19,51.48
1952,22.18,57.83
2266,23.48,61.1
2292,22.91,60.23
1846,23.33,49.6
3428,28.24,40.18
3512,24.26,57.06
3096,26.2,45.6
2228,25.75,47.27
3472,26.18,49.19
3500,27.09,43.89
3438,23.95,59.1
1954,25.86,45.65
3092,23.93,0
1962,25.68,46.97
3474,26.28,49.73
2036,23.09,54.33
3436,26.31,45.89
2232,24.77,54.12
2607,24.09,56.23
3738,27.26,43.54
2040,24.69,50.18
3102,25.49,44.78
2216,25.69,47.78
3432,24.37,55.13
2224,24.61,48.39
2230,27.5,46.8
2294,24.29,42.96
2264,24.56,60.48
1850,24.19,60.29
3558,26.35,44.09
2234,27.41,41.24
3620,25.22,58.71
2262,25.68,45.8
1764,23.25,54.71
2038,28.8,42.1
3836,23.72,54.67
2323,24.08,51.78
1952,22.11,57.67
2266,23.12,62.33
2292,22.8,59.62
1846,23.33,51.41
3428,28.28,41.51
3512,23.88,58.78
2228,25.89,46.88
3096,26.14,45.87
3438,24,59.01
3500,27.07,44.13
1954,25.8,45.56
3472,26.4,48.31
3092,23.93,0
1962,25.59,47.22
3474,26.06,50.43
2036,23.52,52.69
2232,25.74,51.97
2607,24.1,56.42
3436,26.34,45.71
3738,27.2,43.51
3102,25.48,44.7
2040,24.59,50.25
2216,25.62,47.9
3432,24.44,55.34
2224,24.64,49.08
2230,27.42,46.51
2264,24.69,59.79
2294,24.29,43.77
1850,24.15,60.48
3558,26.3,44.7
2234,27.69,40.17
2262,26.13,45.72
1764,23.16,55.36
3836,23.54,55.17
2038,28.61,43.53
2323,24.24,51.5
3620,24.98,58.87
1952,22.07,57.89
2266,22.6,63.81
2292,22.82,59
1846,23.3,52.55
3512,24.03,57.76
2228,25.7,47.36
3096,26.25,45.6
3500,27.04,44.04
3438,23.85,58.21
1954,25.72,45.81
3472,26.37,48.69
3092,24.03,0
1962,25.57,46.96
3474,26.01,50.08
2036,23.38,53.47
2232,25.39,52.25
2607,24.06,56.29
3436,26.4,45.6
3738,27.4,43.16
2040,24.49,50.55
3102,25.35,45.45
2216,25.42,48.67
3432,24.3,56.1
2230,27.35,47.02
2224,24.26,49.89
2264,24.56,60.62
2294,24.39,43.29
1850,24.12,60.82
3558,26.22,45.31
2234,27.35,41.16
2262,25.79,46.27
1764,23.08,53.89
3836,23.54,55.39
2038,28.58,43.75
2323,24.22,51.36
1952,22.15,57.6
2266,22.74,64.41
2292,23,60.23
1846,23.31,52.73
3620,25.08,58.94
3512,23.88,58.61
2228,25.57,48.07
3096,26.23,45.38
3438,23.95,57.71
3500,27.03,43.79
1954,25.67,45.74
3472,26.16,49.11
3092,24.02,0
1962,25.52,47.4
3474,26.13,50.38
2036,23.26,53.66
2232,25.43,52.23
2607,23.89,56.66
3436,26.35,45.75
3738,27.32,42.95
3102,25.42,45.29
2040,24.48,50.79
2216,25.15,49.31
3432,24.32,56.09
2230,27.35,47.29
2224,24.4,49.04
2264,24.48,61
1850,24.06,61.15
2294,24.39,43.86
3558,26.16,45.13
2234,27.37,41.05
2262,25.58,47.05
1764,22.92,56.53
3836,23.25,56.37
2038,28.56,44.06
2323,24.23,51.75
1952,22.1,57.87
2266,22.69,64.7
2292,23.04,59.67
1846,23.22,52.58
3512,24.1,58.45
2228,25.59,48.41
3096,26.2,45.61
3500,27.04,43.95
3438,23.91,57.88
1954,25.6,45.87
3472,26.1,49.19
3620,25.39,57.79
3092,24.14,0
1962,25.48,47.69
3474,26.19,50.42
2036,23.47,53.61
2232,25.93,50.99
2607,23.71,57.16
3436,26.24,46.01
3738,27.39,42.95
2040,24.68,50.43
3102,25.39,45.61
2216,25.34,48.91
3432,24.42,55.64
2230,27.21,47.42
2224,24.36,49.5
2264,24.53,60.6
1850,24.01,61.13
2294,24.11,45.28
3558,25.94,46.65
2234,27.47,41.02
2262,25.81,47.76
1764,22.89,56.03
3836,23.39,55.26
2038,28.46,44.66
2323,24.27,51.5
1952,21.93,58.55
2266,22.55,64.74
2292,22.76,60.06
1846,23.17,52.36
3512,24,58.5
2228,25.61,47.46
3438,23.91,58.43
3500,27.04,44.15
3096,26.33,44.67
1954,25.65,45.77
3472,26.27,48.74
3092,24.08,0
1962,25.4,49.12
3474,25.99,51.01
2232,26.34,50.47
2607,23.71,57.37
2036,23.34,54.33
3620,25.16,58.01
3436,26.09,46.42
3738,27.41,42.87
3102,25.39,45.61
2040,24.49,50.95
3428,28.2,41.96
2216,25.07,49.42
3432,24.12,57.01
2230,27.16,47.44
2264,24.35,61.34
1850,24,61.36
2224,24.32,49.54
2294,23.91,44.75
3558,25.88,46.57
2262,25.52,50.59
2234,27.24,41.49
1764,22.72,56.09
3836,23.31,56.51
2038,28.38,44.76
2323,24.16,51.95
1952,22.02,59.04
2266,21.54,69.15
2292,22.82,60.18
1846,23.1,52.54
3512,24.06,58.28
2228,25.46,47.52
3500,27.01,43.92
3438,23.92,57.9
1954,25.68,45.77
3096,26.23,44.93
3092,24.05,0
3472,26.2,49.01
1962,25.46,49.43
3474,26.01,51.12
2232,26.36,50.01
2607,23.82,57.22
2036,23.18,55.09
3738,27.33,43.16
3436,26.15,46.49
2040,24.46,51.16
3102,25.33,45.58
3428,28.32,40.29
2216,24.74,50.9
3620,24.88,58.6
3432,24.06,57.48
2230,27.2,47.1
2264,24.25,61.27
1850,23.97,61.49
2294,24,44.47
2224,24.44,48.92
3558,25.93,47.34
2262,25.17,51.89
2234,27.07,42.23
1764,22.55,57.12
3836,23.2,57.32
2038,28.3,44.91
2323,24.22,51.84
1952,22.18,58.67
2266,22.09,67.28
2292,22.77,59.04
1846,23.11,54.82
3512,24,58.74
2228,25.47,47.66
3438,23.89,57.67
1954,25.77,45.73
3096,26.31,45.53
3092,23.98,0
3472,26.25,48.74
1962,25.42,49.98
3474,26.08,50.74
2232,26.55,49.22
2607,23.66,57.22
2036,23.22,55.31
3738,27.16,43.39
3436,26.22,46.09
3102,25.16,46.64
2040,24.29,52.17
3428,28.33,41.84
2216,24.86,49.95
3432,24.06,57.26
2230,27.14,47.58
2264,24.36,61.38
1850,23.94,61.57
2294,24.04,44.66
2224,24.54,48.8
3620,25.11,57.75
3558,25.72,48.31
2262,24.99,52.82
2234,26.67,43.3
1764,22.62,57.06
3836,23.15,57.12
2038,28.29,44.94
1952,22.11,58.77
2323,24.22,51.72
2266,22.2,65.82
2292,22.76,59.97
1846,23,55.21
3512,24.11,58.58
2228,25.41,47.84
3438,23.97,57.49
1954,25.83,45.7
3096,26.21,45.57
3092,24.03,0
3472,26.12,49.24
1962,25.39,51.52
3474,26.05,50.98
2232,26.66,48.97
2607,23.68,57.35
2036,23.16,56
3738,27.13,43.68
2040,24.2,51.93
3102,25.13,46.73
3436,26.34,45.69
3428,28.4,40.92
2216,24.85,50.48
3432,23.88,57.58
2230,27.04,47.33
2264,24.23,61.89
1850,23.88,61.83
2294,24.06,43.89
2224,24.69,49.24
3558,25.78,48.51
2262,25.47,51.03
1764,22.58,56.8
2234,26.43,44.04
3620,25.53,56.53
3836,23.18,56.76
1952,22.15,59.02
2038,28.22,45.18
2323,24.27,51.46
2266,22.49,65.48
2292,22.69,59.55
1846,22.94,54.88
3512,24.09,58.42
2228,25.29,48.74
3438,23.94,58.09
1954,25.87,45.52
3096,26.28,45.88
3092,24.04,0
1962,25.29,52.01
3472,25.88,49.79
3474,25.96,50.79
2232,27.07,47.49
2607,23.78,56.96
2036,23.13,56.06
3738,27.23,42.99
3102,25.05,47.18
2040,24.13,52.32
3436,26.31,45.7
3428,28.51,39.02
2216,24.8,50.61
3432,23.79,58.14
2230,27.18,47.29
2264,24.29,61.46
1850,23.87,61.75
2294,23.98,46.12
2224,24.73,48.18
3558,25.68,48.43
2262,25.25,51.54
1764,22.52,56.98
2234,26.68,43.42
3836,23.47,55.28
1952,21.89,59.45
2038,28.21,45.22
2323,24.16,51.74
2266,22.26,66.63
2292,22.74,59.83
1846,22.91,53.11
3620,25.01,57.87
3512,23.83,60.06
2228,25.44,48.08
3438,24.01,57.99
1954,25.86,45.56
3096,26.39,46.17
3092,24.11,0
1962,25.22,52.12
3474,26,50.67
3472,26.16,49.27
2232,26.43,48.44
2607,23.74,56.81
2036,23.23,56.09
3738,27.11,43.19
2040,23.94,52.97
3102,25.05,47.32
3436,26.06,46.6
3428,28.5,38.1
2216,24.48,51.68
3432,23.89,57.77
2230,27.21,47.76
2264,24.34,61.58
1850,23.85,61.77
2294,23.82,45.44
2224,24.85,48.98
3558,25.69,48.91
2262,25.32,51.79
1764,22.43,58.78
2234,26.63,44.05
3836,23.32,55.98
2038,28.13,45.4
2323,24.27,51.43
2266,21.82,67.96
2292,22.42,59.85
1952,21.71,60.07
1846,22.89,53.18
3512,23.99,59.7
2228,25.47,47.91
3438,24.05,57.76
1954,25.89,45.56
3620,24.99,58.09
3096,26.43,46
3092,24.12,0
1962,25.25,52.32
3474,25.91,51.23
3472,26.07,49.3
2232,25.91,50.21
2607,23.69,57.08
2036,23.19,56.54
3738,27.08,43.17
3102,24.95,47.56
2040,23.84,53.67
3428,28.45,38.86
2216,24.48,52
3436,26.02,46.64
3432,23.59,59.17
2230,27.12,47.82
2264,24.31,61.42
1850,23.82,61.83
2294,24.01,42.97
2224,24.69,49.59
3558,25.67,49.02
2262,25.26,51.97
1764,22.26,57.43
2234,26.44,44.24
3836,23.27,55.9
2038,28,45.64
2323,24.15,51.75
2266,21.73,68.5
2292,22.56,59.87
1952,21.57,61.52
1846,22.87,53.03
3512,24,59.81
2228,25.46,47.72
3438,24.05,57.5
1954,25.92,45.3
3096,26.42,45.8
3092,23.98,0
1962,25.17,52.49
3474,25.48,52.21
3620,25.6,56.71
3472,26.23,49.32
2232,26.28,49.81
2607,23.68,56.62
2036,23.25,56.59
3738,27.06,43.13
2040,23.88,53.65
3102,25.15,46.88
3428,28.41,38.54
2216,24.4,52.04
3436,25.78,47.39
3432,23.78,58.33
2230,27.14,47.96
2264,24.34,61.73
1850,23.8,61.88
2294,24.12,43.61
2224,24.73,49.7
3558,25.56,49.25
2262,25.16,52.38
2234,26.69,43.91
1764,22.24,58.32
3836,23.2,56.34
2038,28,45.69
2323,24.14,52.14
2266,22.08,67.31
1952,21.41,62.54
2292,22.6,59.66
1846,22.85,54.37
3512,23.8,60.7
2228,25.41,47.97
3438,24.03,57.23
1954,25.97,45.24
3096,26.31,45.44
3092,24.09,0
1962,25.11,52.67
3474,25.59,52.1
3472,25.96,49.71
2232,25.62,51.19
2607,23.5,56.87
3738,27.02,43.32
2036,23.05,57.73
3102,25.07,46.89
2040,23.59,55.38
3620,25.23,57.27
3428,28.37,38.54
2216,24.64,51.79
3432,23.67,59.09
3436,25.92,47.19
2230,27.07,47.77
2264,24.44,61.07
1850,23.76,62.12
2294,24.15,44.33
2224,24.56,50.39
3558,25.49,49.68
2262,24.95,52.91
2234,26.39,44.88
1764,22.31,58.29
3836,23.13,57.25
2038,27.9,44.87
2323,24.17,52.07
2266,21.69,68.57
1952,21.48,62.58
2292,22.5,58.99
1846,22.83,53.33
3512,23.84,60.64
2228,25.29,49.14
3438,23.98,58.6
1954,25.96,45.21
3096,26.15,45.6
3092,23.98,0
1962,25.14,52.7
3474,25.81,50.95
2232,26.41,49.2
3472,26.1,49.6
2607,23.49,57.38
3738,26.94,43.35
2036,23.01,58.1
2040,23.62,55.15
3102,24.97,47.46
3428,28.23,39.02
2216,24.58,52.35
3432,23.68,58.95
2230,27.13,47.8
3436,26.1,46.69
2264,24.14,62.06
1850,23.71,62.35
2294,24.4,43.47
3620,25.08,58.34
2224,24.59,50.09
3558,25.47,49.5
2262,25.08,52.69
2234,26.82,43.43
1764,22.3,58.02
3836,23.13,56.97
2038,27.87,43.07
2323,24.19,52.01
2266,21.65,68.72
1952,21.46,63.28
2292,22.6,59.29
1846,22.73,55.36
3512,23.86,60.87
2228,25.16,48.56
3438,23.9,58.99
1954,25.97,45.35
3096,26.07,45.54
3092,24.03,0
1962,25.07,52.89
3474,25.68,51.71
2232,25.48,51.08
2607,23.49,57.5
3472,25.64,50.66
3738,27.04,43.24
2036,22.91,58.4
3102,25.09,47.34
2040,23.53,55.9
3428,28.17,39.09
2216,24.64,52.59
3432,23.53,59.91
2230,27.05,48.77
3436,25.94,47.04
2264,24.11,61.38
1850,23.67,61.81
2294,24.4,43.93
3558,25.53,49.23
2224,24.55,50.54
2262,24.87,51.68
2234,26.33,44.82
1764,22.17,58.08
3620,24.61,58.7
3836,23.07,57.77
2038,27.88,43.55
2323,24.1,52.34
1952,21.48,63.42
2266,21.64,68.93
2292,22.57,59.11
1846,22.75,55.63
3512,24.01,60.78
2228,25.2,48.35
3438,23.97,58.46
1954,26.02,45.35
3096,26.16,45.67
3092,24.03,0
1962,25.01,52.83
3474,25.54,52.2
2232,25.94,50.51
2607,23.67,56.74
3472,25.95,49.54
3738,27.04,43.11
3102,25.12,47.24
2036,22.86,58.86
2040,23.64,55.11
3428,28.11,39.1
2216,24.68,52.45
3432,23.63,59.47
2230,26.91,49.21
2264,24.29,60.92
1850,23.65,62
3436,25.91,46.77
2294,24.23,45.09
3558,25.53,49.68
2224,24.54,50.25
2234,26.07,45.7
2262,25.5,50.72
1764,22.22,58.37
3836,23.09,57.32
2038,28.06,43.04
2323,24.17,52.51
2266,21.65,69.1
1952,21.38,63.33
3620,24.71,59.22
2292,22.54,58.14
1846,22.68,53.84
3512,23.66,62.21
2228,25.16,48.45
3438,23.96,58.15
1954,26.06,45.32
3092,24.01,0
3096,26.16,44.99
1962,24.98,50.42
3474,25.8,51.29
2607,23.72,56.71
2232,25.47,50.59
3472,26.13,49.63
3738,27.03,43.23
2040,23.55,56.6
3102,25.07,47.38
2036,23.22,57.98
3428,28.01,39.81
2216,24.53,52.9
3432,23.57,59.99
2230,26.68,49.04
2264,24.02,62.45
1850,23.69,61.34
3436,25.91,46.96
2294,23.94,45.01
3558,25.47,49.95
2224,24.55,50.59
2234,26.41,44.88
2262,25.08,51.57
1764,22.19,58.79
3836,23.46,55.27
2038,28.12,41.98
2323,24.19,52.23
1952,21.36,63.94
2266,21.41,69.67
2292,22.46,57.79
1846,22.67,56.54
3512,23.51,62.89
2228,25.09,48.66
3620,24.63,59.05
3438,23.88,58.05
1954,26.05,45.16
3092,23.89,0
3096,25.99,45.71
1962,25,50.5
3474,25.54,51.93
2232,25.98,50.08
2607,23.68,56.71
3738,27.09,42.95
3472,25.95,49.73
3102,24.93,47.85
2040,23.51,56.4
2036,23.18,58.22
2216,24.45,53.32
3432,23.64,60.04
3428,27.82,40.26
2230,26.77,49.22
2264,23.85,60.88
1850,23.68,61.16
3436,25.96,46.82
2294,23.73,45.88
3558,25.37,50.96
2234,26.18,45.32
2224,24.59,50.31
2262,25.05,50.89
1764,22.11,59.14
3836,23.19,57.99
2038,27.99,41.8
2323,23.82,52.98
2266,21.37,69.49
1952,21.46,64.14
2292,22.5,57.33
1846,22.63,55.66
3512,23.71,62.08
2228,25.14,48.48
1954,26.05,45.19
3438,23.84,59.48
3092,23.95,0
3620,24.43,60
3096,25.83,46.97
1962,24.98,50.65
3474,25.57,51.85
2607,23.74,56.28
2232,25.17,51.45
3738,27.14,43.27
3472,25.91,49.3
2040,23.47,56.38
3102,24.98,48.06
2036,23.37,57.64
2216,24.34,53.59
3432,23.58,60.22
3428,27.74,40.96
2230,26.46,49.63
2264,23.97,61.93
1850,23.7,62.02
3436,26.06,46.52
2294,23.66,46.78
3558,25.17,50.96
2234,26.13,45.43
2224,24.78,50.42
2262,24.98,49.69
1764,22.05,58.99
3836,22.97,58.24
2038,27.94,41.7
2323,23.88,52.62
1952,21.51,63.84
2266,21.35,69.91
2292,22.49,57.97
1846,22.55,55.5
3512,23.64,62.72
2228,25.07,48.68
1954,26.05,45.19
3438,23.78,58.92
3092,23.91,0
3096,25.88,47.12
1962,24.94,50.39
3474,25.4,52.03
2232,25.84,50.03
2607,23.36,57.66
3620,24.01,61.12
3738,27.08,43.12
3472,25.72,49.95
3102,24.99,48.14
2040,23.43,57.21
2036,23.27,58.21
2216,24.33,53.75
3432,23.08,62.45
3428,27.7,40.85
2230,26.48,49.02
2264,23.9,61.58
1850,23.63,61.96
2294,23.6,46.61
3436,26.11,46.45
3558,25.16,51.71
2234,25.94,46.25
2262,25.09,49.69
2224,24.49,51.34
1764,22.15,58.88
3836,23.08,57.98
2038,27.79,42.01
2323,23.83,52.63
1952,21.36,64.36
2266,21.38,69.74
2292,22.55,57.46
1846,22.52,54.76
3512,23.73,62.51
2228,24.99,48.89
1954,26.04,44.95
3438,23.83,58.28
3092,23.84,0
3096,26.02,47
1962,24.96,49.73
3474,25.48,51.73
2607,23.26,57.07
2232,25.33,50.86
3738,27.16,42.58
2040,23.41,56.52
3102,24.81,48.78
3472,25.87,49.5
2036,23.37,58.08
2216,24.34,53.82
3432,23.2,62.42
3428,27.63,41.19
2230,26.65,49.3
3620,24,61.11
2264,23.94,61.78
1850,23.56,62.02
2294,23.54,46.87
3436,25.87,47.09
3558,25.19,50.62
2234,26.38,44.95
2262,25.41,48.47
2224,24.31,51.8
1764,22.1,58.41
3836,23.12,57.07
2038,27.86,41.92
2323,23.92,52.69
1952,21.39,64.43
2266,21.07,70.88
2292,22.55,56.67
1846,22.48,57.49
3512,23.39,63.54
2228,25.16,48.52
1954,25.85,45.5
3438,23.88,59.25
3092,23.91,0
1962,24.84,49.83
3096,25.92,46.74
3474,25.71,51.41
2232,26.01,49.42
2607,23.39,56.12
3738,26.97,42.92
3102,24.83,49
2040,23.36,57.12
3472,26,50.23
2216,24.27,54.1
2036,23.02,59.18
3432,23.24,62.72
3428,27.57,41.41
2230,26.66,48.3
2264,24.08,61.18
1850,23.56,61.98
2294,23.35,48.09
3436,25.83,47.4
2234,25.91,46.35
3558,25.09,51.49
3620,24.14,60.2
2262,25.23,49.06
1764,22.04,57.71
2224,24.44,51.52
3836,22.87,59.01
2038,27.85,41.99
2323,23.81,53.36
1952,21.27,64.7
2266,21.02,71.01
2292,22.47,56.37
1846,22.42,56.09
3512,23.7,62.4
2228,25.06,49.4
1954,25.86,45.57
3438,23.59,60.65
3092,23.78,0
1962,24.93,49.65
3474,25.6,51.76
3096,25.87,47.11
2232,25.12,51.11
2607,23.32,57.2
3738,26.9,43.05
2040,23.19,58.52
3102,24.85,48.71
3472,25.36,51.14
2216,24.28,53.79
2036,23.08,58.95
3432,23.17,63.32
3428,27.53,41.59
2230,26.78,48.99
2264,23.92,62.2
1850,23.53,61.83
2294,23.44,46
2234,26.34,45.43
3558,25.04,51.97
3436,25.85,47.33
2262,25.11,49.07
1764,22,59.66
2224,24.4,51.65
3836,23.1,57.83
2038,27.86,42
2323,23.57,53.74
3620,24.44,59.94
1952,21.06,65.44
2266,21.49,69.61
2292,22.57,56.52
1846,22.4,57.33
3512,23.69,62.82
2228,25.01,49.1
1954,25.82,45.74
3438,23.51,60.89
3092,23.77,0
1962,24.88,49.91
3474,25.8,51.19
3096,25.78,47.05
2232,25.99,49.73
2607,23.29,54.86
3738,26.9,43.06
3102,24.87,47.23
2040,23.16,58.75
2216,24.51,53.55
3472,25.76,50.12
2036,22.88,59.72
3432,22.96,64.03
3428,27.48,42.13
2230,26.82,49.12
2264,24.03,62.25
