sensor_id,location,lat,lon,temperature,humidity,date,time
3102,1561,42.665,23.392,25.87,43.62,01-07-2017,00:06:14
2040,1025,42.686,23.351,25.58,46.81,01-07-2017,00:06:16
3620,1824,42.678,23.254,25.76,56.91,01-07-2017,00:06:19
2216,1114,42.664,23.373,26.29,45.0,01-07-2017,00:06:22
3432,1729,42.71,23.419,24.67,52.97,01-07-2017,00:06:25
2294,1155,42.645,23.265,24.1,44.9,01-07-2017,00:06:27
2230,1121,42.692,23.332,27.69,45.62,01-07-2017,00:06:28
2264,1139,42.671,23.31,24.81,58.96,01-07-2017,00:06:34
1850,925,42.677,23.311,24.51,58.42,01-07-2017,00:06:35
2234,1123,42.685,23.356,27.83,39.79,01-07-2017,00:06:41
3558,1793,42.671,23.364,26.83,40.91,01-07-2017,00:06:49
2262,1138,42.691,23.324,26.18,45.77,01-07-2017,00:06:57
1764,879,42.622,23.366,24.45,50.37,01-07-2017,00:07:02
3836,1933,42.702,23.371,23.7,55.52,01-07-2017,00:07:16
2038,1024,42.694,23.32,29.14,39.16,01-07-2017,00:07:17
2323,1172,42.686,23.4,24.16,51.8,01-07-2017,00:07:17
2266,1140,42.738,23.272,23.23,63.07,01-07-2017,00:07:26
2292,1154,42.663,23.273,23.16,60.24,01-07-2017,00:07:27
1952,976,42.709,23.398,22.61,56.3,01-07-2017,00:07:30
3428,1727,42.624,23.406,28.31,40.01,01-07-2017,00:07:32
3096,1558,42.7,23.36,26.6,44.17,01-07-2017,00:07:34
1846,923,42.64,23.31,23.75,50.22,01-07-2017,00:07:35
3472,1750,42.669,23.318,26.35,46.89,01-07-2017,00:07:39
3512,1770,42.683,23.335,24.45,58.13,01-07-2017,00:07:43
2228,1120,42.693,23.333,26.16,45.9,01-07-2017,00:07:48
3438,1732,42.738,23.293,24.41,58.05,01-07-2017,00:07:57
1954,977,42.704,23.354,26.13,44.95,01-07-2017,00:07:58
3092,1556,42.666,23.284,24.27,0.0,01-07-2017,00:08:04
3436,1731,42.693,23.359,26.56,45.31,01-07-2017,00:08:08
1962,981,42.69,23.324,25.92,46.27,01-07-2017,00:08:16
2036,1023,42.657,23.349,23.65,52.93,01-07-2017,00:08:17
3474,1751,42.68,23.293,26.67,49.5,01-07-2017,00:08:18
2232,1122,42.685,23.301,25.48,51.83,01-07-2017,00:08:28
2607,1313,42.66,23.319,24.34,55.36,01-07-2017,00:08:29
3738,1884,42.7,23.332,27.86,41.79,01-07-2017,00:08:36
3102,1561,42.665,23.392,25.86,43.61,01-07-2017,00:08:41
2224,1118,42.651,23.335,24.97,49.14,01-07-2017,00:08:42
2040,1025,42.686,23.351,25.41,46.44,01-07-2017,00:08:42
2216,1114,42.664,23.373,26.32,44.22,01-07-2017,00:08:49
3432,1729,42.71,23.419,24.58,53.35,01-07-2017,00:08:52
2294,1155,42.645,23.265,24.13,44.09,01-07-2017,00:08:54
2230,1121,42.692,23.332,27.72,45.73,01-07-2017,00:08:55
2264,1139,42.671,23.31,24.88,58.74,01-07-2017,00:09:01
1850,925,42.677,23.311,24.47,58.73,01-07-2017,00:09:02
2234,1123,42.685,23.356,27.6,40.24,01-07-2017,00:09:07
3620,1824,42.678,23.254,25.33,58.18,01-07-2017,00:09:09
3558,1793,42.671,23.364,26.82,41.08,01-07-2017,00:09:16
2262,1138,42.691,23.324,26.08,45.59,01-07-2017,00:09:24
1764,879,42.622,23.366,24.35,52.4,01-07-2017,00:09:28
2038,1024,42.694,23.32,29.08,39.29,01-07-2017,00:09:43
3836,1933,42.702,23.371,23.66,55.54,01-07-2017,00:09:43
2323,1172,42.686,23.4,24.19,51.94,01-07-2017,00:09:44
2266,1140,42.738,23.272,23.25,63.37,01-07-2017,00:09:53
2292,1154,42.663,23.273,23.13,59.39,01-07-2017,00:09:54
1952,976,42.709,23.398,22.58,56.17,01-07-2017,00:09:56
3428,1727,42.624,23.406,28.32,41.26,01-07-2017,00:09:58
1846,923,42.64,23.31,23.72,51.15,01-07-2017,00:10:01
3096,1558,42.7,23.36,26.45,44.64,01-07-2017,00:10:01
3472,1750,42.669,23.318,26.28,47.28,01-07-2017,00:10:08
3512,1770,42.683,23.335,24.7,55.89,01-07-2017,00:10:09
2228,1120,42.693,23.333,26.13,46.11,01-07-2017,00:10:15
3438,1732,42.738,23.293,24.45,58.35,01-07-2017,00:10:23
1954,977,42.704,23.354,26.13,44.92,01-07-2017,00:10:25
3092,1556,42.666,23.284,24.32,0.0,01-07-2017,00:10:31
3436,1731,42.693,23.359,26.71,45.0,01-07-2017,00:10:37
1962,981,42.69,23.324,25.92,46.49,01-07-2017,00:10:43
2036,1023,42.657,23.349,23.6,53.46,01-07-2017,00:10:44
3474,1751,42.68,23.293,26.56,49.67,01-07-2017,00:10:44
2232,1122,42.685,23.301,25.38,52.12,01-07-2017,00:10:54
2607,1313,42.66,23.319,24.53,55.11,01-07-2017,00:10:55
3738,1884,42.7,23.332,27.65,42.04,01-07-2017,00:11:03
3102,1561,42.665,23.392,25.82,43.76,01-07-2017,00:11:07
2040,1025,42.686,23.351,25.44,46.44,01-07-2017,00:11:09
2224,1118,42.651,23.335,24.8,50.22,01-07-2017,00:11:10
2216,1114,42.664,23.373,26.38,45.08,01-07-2017,00:11:15
3432,1729,42.71,23.419,24.68,53.18,01-07-2017,00:11:19
2230,1121,42.692,23.332,27.34,45.63,01-07-2017,00:11:21
2294,1155,42.645,23.265,23.88,45.75,01-07-2017,00:11:22
2264,1139,42.671,23.31,24.83,59.23,01-07-2017,00:11:27
1850,925,42.677,23.311,24.43,59.06,01-07-2017,00:11:28
2234,1123,42.685,23.356,27.45,40.71,01-07-2017,00:11:32
3558,1793,42.671,23.364,26.82,41.23,01-07-2017,00:11:42
2262,1138,42.691,23.324,26.03,46.11,01-07-2017,00:11:50
1764,879,42.622,23.366,24.1,53.94,01-07-2017,00:11:55
3620,1824,42.678,23.254,25.23,57.85,01-07-2017,00:11:58
3836,1933,42.702,23.371,23.75,54.67,01-07-2017,00:12:09
2038,1024,42.694,23.32,28.91,39.57,01-07-2017,00:12:10
2323,1172,42.686,23.4,24.23,51.77,01-07-2017,00:12:10
2266,1140,42.738,23.272,23.13,63.87,01-07-2017,00:12:19
2292,1154,42.663,23.273,23.12,60.11,01-07-2017,00:12:21
1952,976,42.709,23.398,22.41,56.64,01-07-2017,00:12:21
3428,1727,42.624,23.406,28.16,40.45,01-07-2017,00:12:25
1846,923,42.64,23.31,23.67,52.7,01-07-2017,00:12:28
3096,1558,42.7,23.36,26.52,44.62,01-07-2017,00:12:29
3512,1770,42.683,23.335,24.68,55.47,01-07-2017,00:12:36
3472,1750,42.669,23.318,26.5,47.15,01-07-2017,00:12:37
2228,1120,42.693,23.333,26.11,46.11,01-07-2017,00:12:41
3438,1732,42.738,23.293,24.39,58.32,01-07-2017,00:12:50
1954,977,42.704,23.354,26.08,45.03,01-07-2017,00:12:51
3092,1556,42.666,23.284,24.28,0.0,01-07-2017,00:12:57
3436,1731,42.693,23.359,26.49,45.26,01-07-2017,00:13:05
1962,981,42.69,23.324,25.9,46.52,01-07-2017,00:13:09
2036,1023,42.657,23.349,23.53,52.9,01-07-2017,00:13:11
3474,1751,42.68,23.293,26.29,49.53,01-07-2017,00:13:11
2232,1122,42.685,23.301,25.21,52.87,01-07-2017,00:13:21
2607,1313,42.66,23.319,24.26,55.62,01-07-2017,00:13:22
3738,1884,42.7,23.332,27.57,42.36,01-07-2017,00:13:29
3102,1561,42.665,23.392,25.73,44.24,01-07-2017,00:13:34
2040,1025,42.686,23.351,25.36,48.31,01-07-2017,00:13:35
2224,1118,42.651,23.335,24.87,49.38,01-07-2017,00:13:37
2216,1114,42.664,23.373,26.25,45.66,01-07-2017,00:13:42
3432,1729,42.71,23.419,24.58,53.37,01-07-2017,00:13:45
2230,1121,42.692,23.332,27.36,45.97,01-07-2017,00:13:48
2294,1155,42.645,23.265,23.9,45.23,01-07-2017,00:13:49
2264,1139,42.671,23.31,24.71,59.31,01-07-2017,00:13:54
1850,925,42.677,23.311,24.34,59.22,01-07-2017,00:13:55
2234,1123,42.685,23.356,27.82,38.99,01-07-2017,00:14:06
3558,1793,42.671,23.364,26.72,42.47,01-07-2017,00:14:09
2262,1138,42.691,23.324,26.17,45.87,01-07-2017,00:14:17
1764,879,42.622,23.366,23.96,53.22,01-07-2017,00:14:21
2038,1024,42.694,23.32,29.04,39.32,01-07-2017,00:14:36
3836,1933,42.702,23.371,24.0,53.34,01-07-2017,00:14:36
2323,1172,42.686,23.4,24.08,52.02,01-07-2017,00:14:37
2266,1140,42.738,23.272,23.47,62.36,01-07-2017,00:14:46
2292,1154,42.663,23.273,23.08,59.55,01-07-2017,00:14:47
1952,976,42.709,23.398,22.35,56.82,01-07-2017,00:14:47
3620,1824,42.678,23.254,25.31,58.17,01-07-2017,00:14:48
3428,1727,42.624,23.406,28.19,40.26,01-07-2017,00:14:51
1846,923,42.64,23.31,23.57,54.38,01-07-2017,00:14:54
3096,1558,42.7,23.36,26.49,44.55,01-07-2017,00:14:57
3512,1770,42.683,23.335,24.29,57.19,01-07-2017,00:15:03
3472,1750,42.669,23.318,26.33,48.0,01-07-2017,00:15:05
2228,1120,42.693,23.333,25.97,46.79,01-07-2017,00:15:08
3438,1732,42.738,23.293,24.34,59.66,01-07-2017,00:15:16
1954,977,42.704,23.354,26.14,44.93,01-07-2017,00:15:18
3092,1556,42.666,23.284,24.26,0.0,01-07-2017,00:15:24
3436,1731,42.693,23.359,26.45,45.29,01-07-2017,00:15:34
1962,981,42.69,23.324,25.82,46.65,01-07-2017,00:15:36
3474,1751,42.68,23.293,26.13,49.88,01-07-2017,00:15:37
2036,1023,42.657,23.349,23.82,51.82,01-07-2017,00:15:39
2232,1122,42.685,23.301,25.3,52.79,01-07-2017,00:15:47
2607,1313,42.66,23.319,24.42,55.11,01-07-2017,00:15:48
3738,1884,42.7,23.332,27.5,42.5,01-07-2017,00:15:56
3102,1561,42.665,23.392,25.56,44.66,01-07-2017,00:16:00
2040,1025,42.686,23.351,25.13,47.76,01-07-2017,00:16:02
2224,1118,42.651,23.335,24.69,49.49,01-07-2017,00:16:05
2216,1114,42.664,23.373,25.86,46.13,01-07-2017,00:16:08
3432,1729,42.71,23.419,24.7,53.18,01-07-2017,00:16:12
2230,1121,42.692,23.332,27.42,46.1,01-07-2017,00:16:15
2294,1155,42.645,23.265,23.86,45.45,01-07-2017,00:16:17
2264,1139,42.671,23.31,24.75,59.21,01-07-2017,00:16:20
1850,925,42.677,23.311,24.29,59.45,01-07-2017,00:16:21
2234,1123,42.685,23.356,27.24,41.45,01-07-2017,00:16:31
3558,1793,42.671,23.364,26.6,42.33,01-07-2017,00:16:35
2262,1138,42.691,23.324,26.08,45.82,01-07-2017,00:16:43
1764,879,42.622,23.366,23.83,51.64,01-07-2017,00:16:48
3836,1933,42.702,23.371,24.01,53.12,01-07-2017,00:17:02
2038,1024,42.694,23.32,28.92,39.44,01-07-2017,00:17:03
2323,1172,42.686,23.4,24.19,51.68,01-07-2017,00:17:03
2266,1140,42.738,23.272,23.38,62.78,01-07-2017,00:17:12
1952,976,42.709,23.398,22.25,57.16,01-07-2017,00:17:12
2292,1154,42.663,23.273,23.07,60.23,01-07-2017,00:17:14
3428,1727,42.624,23.406,28.15,40.04,01-07-2017,00:17:18
1846,923,42.64,23.31,23.48,51.88,01-07-2017,00:17:21
3096,1558,42.7,23.36,26.1,45.65,01-07-2017,00:17:24
3512,1770,42.683,23.335,24.3,56.55,01-07-2017,00:17:30
3472,1750,42.669,23.318,26.25,48.36,01-07-2017,00:17:34
2228,1120,42.693,23.333,26.04,46.67,01-07-2017,00:17:34
3620,1824,42.678,23.254,25.46,57.24,01-07-2017,00:17:38
3438,1732,42.738,23.293,24.19,59.62,01-07-2017,00:17:43
1954,977,42.704,23.354,26.17,44.85,01-07-2017,00:17:44
3092,1556,42.666,23.284,24.26,0.0,01-07-2017,00:17:50
1962,981,42.69,23.324,25.71,47.0,01-07-2017,00:18:02
3436,1731,42.693,23.359,26.38,45.53,01-07-2017,00:18:03
3474,1751,42.68,23.293,26.21,50.62,01-07-2017,00:18:04
2036,1023,42.657,23.349,23.71,51.54,01-07-2017,00:18:07
2232,1122,42.685,23.301,25.36,52.55,01-07-2017,00:18:14
2607,1313,42.66,23.319,24.13,56.15,01-07-2017,00:18:15
3738,1884,42.7,23.332,27.71,41.96,01-07-2017,00:18:22
3102,1561,42.665,23.392,25.61,44.39,01-07-2017,00:18:27
2040,1025,42.686,23.351,25.25,48.45,01-07-2017,00:18:28
2224,1118,42.651,23.335,24.76,48.86,01-07-2017,00:18:33
2216,1114,42.664,23.373,25.86,46.51,01-07-2017,00:18:35
3432,1729,42.71,23.419,24.74,53.05,01-07-2017,00:18:38
2230,1121,42.692,23.332,27.46,46.13,01-07-2017,00:18:41
2294,1155,42.645,23.265,23.78,45.89,01-07-2017,00:18:44
2264,1139,42.671,23.31,24.76,59.44,01-07-2017,00:18:47
1850,925,42.677,23.311,24.26,59.83,01-07-2017,00:18:48
3558,1793,42.671,23.364,26.63,42.92,01-07-2017,00:19:02
2234,1123,42.685,23.356,27.5,40.58,01-07-2017,00:19:04
2262,1138,42.691,23.324,26.02,46.1,01-07-2017,00:19:10
1764,879,42.622,23.366,23.61,54.79,01-07-2017,00:19:14
2038,1024,42.694,23.32,28.96,39.41,01-07-2017,00:19:29
3836,1933,42.702,23.371,23.93,53.43,01-07-2017,00:19:29
2323,1172,42.686,23.4,24.23,51.62,01-07-2017,00:19:30
1952,976,42.709,23.398,22.24,57.49,01-07-2017,00:19:38
2266,1140,42.738,23.272,23.22,63.79,01-07-2017,00:19:39
2292,1154,42.663,23.273,23.01,59.59,01-07-2017,00:19:40
3428,1727,42.624,23.406,28.08,41.47,01-07-2017,00:19:44
1846,923,42.64,23.31,23.39,53.99,01-07-2017,00:19:47
3096,1558,42.7,23.36,26.06,45.79,01-07-2017,00:19:52
3512,1770,42.683,23.335,24.47,56.74,01-07-2017,00:19:56
2228,1120,42.693,23.333,25.98,46.67,01-07-2017,00:20:01
3472,1750,42.669,23.318,26.18,48.75,01-07-2017,00:20:03
3438,1732,42.738,23.293,23.99,59.48,01-07-2017,00:20:09
1954,977,42.704,23.354,26.15,44.95,01-07-2017,00:20:11
3092,1556,42.666,23.284,24.07,0.0,01-07-2017,00:20:18
3620,1824,42.678,23.254,25.75,56.89,01-07-2017,00:20:27
1962,981,42.69,23.324,25.71,46.89,01-07-2017,00:20:29
3474,1751,42.68,23.293,26.29,50.22,01-07-2017,00:20:31
3436,1731,42.693,23.359,26.59,45.16,01-07-2017,00:20:32
2036,1023,42.657,23.349,23.49,52.8,01-07-2017,00:20:34
2232,1122,42.685,23.301,24.94,53.97,01-07-2017,00:20:40
2607,1313,42.66,23.319,24.16,56.26,01-07-2017,00:20:41
3738,1884,42.7,23.332,27.71,41.91,01-07-2017,00:20:49
3102,1561,42.665,23.392,25.56,44.76,01-07-2017,00:20:53
2040,1025,42.686,23.351,24.92,49.44,01-07-2017,00:20:55
2224,1118,42.651,23.335,24.71,49.39,01-07-2017,00:21:01
2216,1114,42.664,23.373,25.69,46.67,01-07-2017,00:21:01
3432,1729,42.71,23.419,24.62,53.73,01-07-2017,00:21:05
2230,1121,42.692,23.332,27.47,46.48,01-07-2017,00:21:08
2294,1155,42.645,23.265,23.74,44.84,01-07-2017,00:21:11
2264,1139,42.671,23.31,24.74,59.73,01-07-2017,00:21:13
1850,925,42.677,23.311,24.25,60.06,01-07-2017,00:21:14
3558,1793,42.671,23.364,26.55,43.06,01-07-2017,00:21:28
2234,1123,42.685,23.356,27.25,41.14,01-07-2017,00:21:30
2262,1138,42.691,23.324,25.91,45.39,01-07-2017,00:21:36
1764,879,42.622,23.366,23.56,53.94,01-07-2017,00:21:41
3836,1933,42.702,23.371,23.88,53.49,01-07-2017,00:21:55
2038,1024,42.694,23.32,28.88,39.67,01-07-2017,00:21:56
2323,1172,42.686,23.4,24.28,51.39,01-07-2017,00:21:56
1952,976,42.709,23.398,22.12,58.15,01-07-2017,00:22:04
2266,1140,42.738,23.272,23.27,62.17,01-07-2017,00:22:05
2292,1154,42.663,23.273,22.97,59.73,01-07-2017,00:22:07
1846,923,42.64,23.31,23.36,51.18,01-07-2017,00:22:14
3096,1558,42.7,23.36,26.25,45.15,01-07-2017,00:22:20
3428,1727,42.624,23.406,28.11,40.83,01-07-2017,00:22:21
3512,1770,42.683,23.335,24.35,56.96,01-07-2017,00:22:23
2228,1120,42.693,23.333,25.92,47.38,01-07-2017,00:22:27
3472,1750,42.669,23.318,25.96,49.68,01-07-2017,00:22:32
3438,1732,42.738,23.293,23.77,60.53,01-07-2017,00:22:36
1954,977,42.704,23.354,26.05,45.16,01-07-2017,00:22:37
3092,1556,42.666,23.284,24.05,0.0,01-07-2017,00:22:45
1962,981,42.69,23.324,25.74,46.78,01-07-2017,00:22:55
3474,1751,42.68,23.293,26.39,49.47,01-07-2017,00:22:57
3436,1731,42.693,23.359,26.43,45.69,01-07-2017,00:23:00
2036,1023,42.657,23.349,23.39,53.43,01-07-2017,00:23:02
2232,1122,42.685,23.301,24.75,54.41,01-07-2017,00:23:07
2607,1313,42.66,23.319,24.12,56.11,01-07-2017,00:23:08
3738,1884,42.7,23.332,27.62,42.32,01-07-2017,00:23:15
3620,1824,42.678,23.254,25.41,57.58,01-07-2017,00:23:17
3102,1561,42.665,23.392,25.54,44.57,01-07-2017,00:23:20
2040,1025,42.686,23.351,24.85,49.76,01-07-2017,00:23:21
2216,1114,42.664,23.373,25.86,45.98,01-07-2017,00:23:28
2224,1118,42.651,23.335,24.74,48.99,01-07-2017,00:23:29
3432,1729,42.71,23.419,24.67,53.72,01-07-2017,00:23:31
2230,1121,42.692,23.332,27.44,46.48,01-07-2017,00:23:34
2294,1155,42.645,23.265,23.84,44.21,01-07-2017,00:23:38
2264,1139,42.671,23.31,24.62,59.93,01-07-2017,00:23:40
1850,925,42.677,23.311,24.24,60.21,01-07-2017,00:23:41
3558,1793,42.671,23.364,26.58,43.33,01-07-2017,00:23:55
2262,1138,42.691,23.324,25.91,46.28,01-07-2017,00:24:03
2234,1123,42.685,23.356,27.48,41.05,01-07-2017,00:24:03
1764,879,42.622,23.366,23.52,55.34,01-07-2017,00:24:07
2038,1024,42.694,23.32,28.88,39.61,01-07-2017,00:24:22
3836,1933,42.702,23.371,23.92,53.3,01-07-2017,00:24:22
2323,1172,42.686,23.4,24.23,51.48,01-07-2017,00:24:23
1952,976,42.709,23.398,22.34,57.5,01-07-2017,00:24:30
2266,1140,42.738,23.272,23.14,61.95,01-07-2017,00:24:32
2292,1154,42.663,23.273,22.91,59.84,01-07-2017,00:24:34
1846,923,42.64,23.31,23.31,53.22,01-07-2017,00:24:40
3428,1727,42.624,23.406,28.17,42.96,01-07-2017,00:24:47
3096,1558,42.7,23.36,26.31,45.02,01-07-2017,00:24:47
3512,1770,42.683,23.335,24.23,56.64,01-07-2017,00:24:49
2228,1120,42.693,23.333,25.76,47.08,01-07-2017,00:24:54
3472,1750,42.669,23.318,26.08,49.03,01-07-2017,00:25:00
3438,1732,42.738,23.293,23.89,59.05,01-07-2017,00:25:02
3500,1764,42.703,23.349,27.1,43.99,01-07-2017,00:25:03
1954,977,42.704,23.354,25.96,45.44,01-07-2017,00:25:04
3092,1556,42.666,23.284,23.97,0.0,01-07-2017,00:25:12
1962,981,42.69,23.324,25.71,46.76,01-07-2017,00:25:22
3474,1751,42.68,23.293,26.53,49.57,01-07-2017,00:25:24
2036,1023,42.657,23.349,23.1,54.79,01-07-2017,00:25:29
3436,1731,42.693,23.359,26.62,45.06,01-07-2017,00:25:29
2232,1122,42.685,23.301,24.91,53.93,01-07-2017,00:25:33
2607,1313,42.66,23.319,24.18,56.18,01-07-2017,00:25:34
3738,1884,42.7,23.332,27.65,42.37,01-07-2017,00:25:42
3102,1561,42.665,23.392,25.52,44.54,01-07-2017,00:25:47
2040,1025,42.686,23.351,24.89,49.57,01-07-2017,00:25:48
2216,1114,42.664,23.373,25.68,47.29,01-07-2017,00:25:54
2224,1118,42.651,23.335,24.61,49.45,01-07-2017,00:25:57
3432,1729,42.71,23.419,24.49,54.08,01-07-2017,00:25:58
2230,1121,42.692,23.332,27.51,46.54,01-07-2017,00:26:01
2294,1155,42.645,23.265,24.23,43.07,01-07-2017,00:26:05
2264,1139,42.671,23.31,24.73,59.9,01-07-2017,00:26:06
3620,1824,42.678,23.254,25.22,57.91,01-07-2017,00:26:07
1850,925,42.677,23.311,24.2,60.24,01-07-2017,00:26:07
3558,1793,42.671,23.364,26.31,44.14,01-07-2017,00:26:21
2234,1123,42.685,23.356,27.39,41.26,01-07-2017,00:26:28
2262,1138,42.691,23.324,25.87,46.15,01-07-2017,00:26:29
1764,879,42.622,23.366,23.32,53.75,01-07-2017,00:26:34
3836,1933,42.702,23.371,23.85,53.7,01-07-2017,00:26:48
2038,1024,42.694,23.32,28.89,39.31,01-07-2017,00:26:49
2323,1172,42.686,23.4,24.19,51.48,01-07-2017,00:26:49
1952,976,42.709,23.398,22.18,57.83,01-07-2017,00:26:56
2266,1140,42.738,23.272,23.48,61.1,01-07-2017,00:26:58
2292,1154,42.663,23.273,22.91,60.23,01-07-2017,00:27:00
1846,923,42.64,23.31,23.33,49.6,01-07-2017,00:27:07
